Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
273.16	0.00061165	55.497	0.018019	-1.5169e-12	1.1021e-05	-5.3169e-12	75.978	76.023	1402.3	-0.24142	1791.4	0.55560	0.075646	0.00026947	3711.0	42.785	45.055	164.94	25.553	33.947	409.00	592.65	8.9458	0.016761
273.78	0.00063992	55.499	0.018018	0.047368	0.047379	0.17321	75.953	75.985	1405.4	-0.24081	1753.1	0.55718	0.075559	0.00028128	3555.1	42.800	45.075	164.64	25.562	33.958	409.45	580.97	8.9636	0.016801
274.41	0.00066933	55.501	0.018018	0.094712	0.094724	0.34594	75.928	75.948	1408.5	-0.24021	1716.2	0.55875	0.075472	0.00029355	3406.6	42.816	45.096	164.34	25.571	33.969	409.90	569.55	8.9815	0.016841
275.03	0.00069994	55.502	0.018017	0.14203	0.14205	0.51820	75.902	75.914	1411.5	-0.23962	1680.5	0.56029	0.075384	0.00030628	3265.0	42.831	45.116	164.04	25.581	33.981	410.35	558.36	8.9995	0.016881
275.65	0.00073177	55.503	0.018017	0.18934	0.18935	0.68999	75.875	75.881	1414.5	-0.23904	1645.9	0.56182	0.075296	0.00031950	3129.9	42.847	45.137	163.75	25.590	33.992	410.80	547.41	9.0175	0.016921
276.28	0.00076489	55.504	0.018017	0.23662	0.23663	0.86132	75.847	75.849	1417.4	-0.23846	1612.5	0.56332	0.075208	0.00033321	3001.1	42.862	45.158	163.46	25.599	34.003	411.25	536.69	9.0356	0.016961
276.90	0.00079932	55.504	0.018017	0.28388	0.28389	1.0322	75.819	75.819	1420.3	-0.23789	1580.2	0.56480	0.075120	0.00034743	2878.3	42.877	45.178	163.16	25.609	34.015	411.70	526.20	9.0537	0.017002
277.52	0.00083511	55.504	0.018017	0.33112	0.33114	1.2026	75.790	75.790	1423.2	-0.23733	1548.8	0.56627	0.075031	0.00036218	2761.1	42.893	45.199	162.87	25.618	34.026	412.15	515.93	9.0719	0.017042
278.15	0.00087232	55.504	0.018017	0.37835	0.37836	1.3726	75.760	75.763	1426.0	-0.23677	1518.5	0.56771	0.074942	0.00037747	2649.2	42.908	45.219	162.59	25.628	34.038	412.60	505.88	9.0901	0.017083
278.77	0.00091098	55.503	0.018017	0.42556	0.42557	1.5421	75.730	75.737	1428.8	-0.23622	1489.1	0.56914	0.074853	0.00039333	2542.4	42.924	45.240	162.30	25.638	34.050	413.04	496.05	9.1084	0.017124
279.39	0.00095115	55.502	0.018017	0.47275	0.47277	1.7112	75.699	75.712	1431.5	-0.23567	1460.6	0.57055	0.074764	0.00040977	2440.4	42.939	45.260	162.02	25.647	34.062	413.49	486.43	9.1267	0.017164
280.02	0.00099288	55.501	0.018018	0.51993	0.51995	1.8799	75.668	75.688	1434.2	-0.23513	1433.0	0.57195	0.074675	0.00042680	2343.0	42.955	45.281	161.73	25.657	34.073	413.94	477.02	9.1451	0.017205
280.64	0.0010362	55.499	0.018018	0.56709	0.56711	2.0482	75.636	75.665	1436.8	-0.23460	1406.2	0.57332	0.074585	0.00044445	2250.0	42.970	45.301	161.45	25.667	34.085	414.38	467.82	9.1636	0.017246
281.26	0.0010812	55.497	0.018019	0.61424	0.61426	2.2160	75.604	75.643	1439.4	-0.23407	1380.2	0.57468	0.074495	0.00046273	2161.1	42.985	45.322	161.17	25.676	34.097	414.82	458.82	9.1821	0.017287
281.89	0.0011279	55.495	0.018020	0.66138	0.66140	2.3834	75.570	75.623	1442.0	-0.23355	1355.0	0.57603	0.074405	0.00048166	2076.1	43.001	45.343	160.89	25.686	34.109	415.27	450.01	9.2006	0.017328
282.51	0.0011764	55.492	0.018021	0.70850	0.70852	2.5504	75.537	75.603	1444.5	-0.23304	1330.5	0.57736	0.074314	0.00050127	1994.9	43.016	45.363	160.61	25.696	34.121	415.71	441.39	9.2192	0.017370
283.13	0.0012267	55.489	0.018021	0.75561	0.75564	2.7169	75.503	75.584	1447.0	-0.23253	1306.7	0.57867	0.074224	0.00052156	1917.3	43.032	45.384	160.34	25.706	34.133	416.15	432.97	9.2379	0.017411
283.75	0.0012789	55.486	0.018022	0.80271	0.80274	2.8831	75.468	75.566	1449.5	-0.23202	1283.6	0.57997	0.074133	0.00054257	1843.1	43.047	45.404	160.07	25.716	34.145	416.60	424.73	9.2566	0.017452
284.38	0.0013330	55.483	0.018024	0.84980	0.84983	3.0489	75.433	75.549	1451.9	-0.23152	1261.1	0.58126	0.074042	0.00056431	1772.1	43.062	45.425	159.79	25.726	34.158	417.04	416.67	9.2753	0.017494
285.00	0.0013892	55.479	0.018025	0.89688	0.89691	3.2143	75.397	75.533	1454.3	-0.23102	1239.2	0.58253	0.073951	0.00058681	1704.1	43.078	45.445	159.52	25.736	34.170	417.48	408.80	9.2941	0.017535
285.62	0.0014474	55.475	0.018026	0.94395	0.94398	3.3792	75.361	75.518	1456.6	-0.23053	1218.0	0.58378	0.073859	0.00061008	1639.1	43.093	45.466	159.25	25.746	34.182	417.92	401.09	9.3130	0.017577
286.25	0.0015077	55.471	0.018028	0.99101	0.99104	3.5438	75.325	75.503	1458.9	-0.23004	1197.3	0.58503	0.073767	0.00063415	1576.9	43.109	45.486	158.99	25.756	34.194	418.36	393.56	9.3319	0.017619
286.87	0.0015703	55.466	0.018029	1.0381	1.0381	3.7080	75.288	75.489	1461.2	-0.22956	1177.2	0.58626	0.073675	0.00065904	1517.4	43.124	45.507	158.72	25.766	34.207	418.79	386.20	9.3508	0.017661
287.49	0.0016351	55.461	0.018031	1.0851	1.0851	3.8718	75.250	75.476	1463.5	-0.22908	1157.7	0.58747	0.073583	0.00068477	1460.3	43.139	45.527	158.46	25.776	34.219	419.23	379.00	9.3698	0.017703
288.12	0.0017022	55.456	0.018032	1.1321	1.1322	4.0352	75.212	75.463	1465.7	-0.22861	1138.6	0.58868	0.073491	0.00071137	1405.7	43.155	45.548	158.19	25.786	34.232	419.67	371.96	9.3888	0.017745
288.74	0.0017718	55.451	0.018034	1.1792	1.1792	4.1983	75.174	75.451	1467.8	-0.22814	1120.1	0.58987	0.073398	0.00073886	1353.4	43.170	45.568	157.93	25.796	34.245	420.11	365.08	9.4079	0.017787
289.36	0.0018438	55.445	0.018036	1.2262	1.2262	4.3610	75.135	75.440	1470.0	-0.22767	1102.0	0.59105	0.073305	0.00076727	1303.3	43.185	45.588	157.67	25.806	34.257	420.54	358.36	9.4270	0.017829
289.99	0.0019184	55.440	0.018038	1.2732	1.2732	4.5232	75.096	75.429	1472.0	-0.22721	1084.4	0.59221	0.073212	0.00079663	1255.3	43.201	45.609	157.41	25.816	34.270	420.98	351.78	9.4462	0.017871
290.61	0.0019957	55.434	0.018040	1.3202	1.3202	4.6852	75.056	75.419	1474.1	-0.22675	1067.2	0.59337	0.073119	0.00082695	1209.3	43.216	45.629	157.15	25.826	34.283	421.41	345.35	9.4654	0.017914
291.23	0.0020756	55.427	0.018042	1.3672	1.3672	4.8467	75.016	75.409	1476.1	-0.22630	1050.5	0.59451	0.073025	0.00085826	1165.1	43.231	45.650	156.90	25.836	34.295	421.85	339.07	9.4846	0.017956
291.86	0.0021584	55.421	0.018044	1.4142	1.4142	5.0079	74.975	75.400	1478.1	-0.22585	1034.2	0.59564	0.072931	0.00089060	1122.8	43.247	45.670	156.64	25.846	34.308	422.28	332.93	9.5039	0.017999
292.48	0.0022440	55.414	0.018046	1.4612	1.4612	5.1687	74.934	75.391	1480.1	-0.22540	1018.3	0.59676	0.072837	0.00092398	1082.3	43.262	45.691	156.39	25.857	34.321	422.71	326.93	9.5232	0.018041
293.10	0.0023326	55.407	0.018048	1.5082	1.5082	5.3292	74.893	75.383	1482.0	-0.22495	1002.8	0.59787	0.072743	0.00095845	1043.4	43.277	45.711	156.14	25.867	34.334	423.15	321.06	9.5426	0.018084
293.73	0.0024242	55.400	0.018051	1.5551	1.5552	5.4893	74.852	75.375	1483.9	-0.22451	987.64	0.59897	0.072649	0.00099401	1006.0	43.293	45.731	155.89	25.877	34.347	423.58	315.33	9.5620	0.018127
294.35	0.0025189	55.392	0.018053	1.6021	1.6022	5.6491	74.810	75.368	1485.8	-0.22407	972.87	0.60006	0.072554	0.0010307	970.20	43.308	45.752	155.64	25.888	34.361	424.01	309.72	9.5815	0.018170
294.97	0.0026169	55.385	0.018056	1.6491	1.6491	5.8085	74.767	75.361	1487.6	-0.22364	958.45	0.60113	0.072459	0.0010686	935.82	43.323	45.772	155.39	25.898	34.374	424.44	304.25	9.6010	0.018213
295.60	0.0027182	55.377	0.018058	1.6961	1.6961	5.9675	74.724	75.355	1489.5	-0.22321	944.38	0.60220	0.072364	0.0011076	902.82	43.339	45.793	155.15	25.908	34.387	424.87	298.89	9.6205	0.018256
296.22	0.0028229	55.369	0.018061	1.7430	1.7431	6.1262	74.681	75.349	1491.2	-0.22278	930.63	0.60325	0.072269	0.0011479	871.14	43.354	45.813	154.90	25.919	34.400	425.30	293.66	9.6401	0.018299
296.84	0.0029311	55.360	0.018063	1.7900	1.7900	6.2846	74.638	75.343	1493.0	-0.22235	917.21	0.60430	0.072173	0.0011895	840.71	43.369	45.833	154.66	25.929	34.414	425.73	288.54	9.6597	0.018342
297.47	0.0030429	55.352	0.018066	1.8369	1.8370	6.4426	74.594	75.338	1494.7	-0.22193	904.09	0.60534	0.072078	0.0012323	811.49	43.384	45.854	154.41	25.939	34.427	426.16	283.54	9.6793	0.018386
298.09	0.0031584	55.343	0.018069	1.8839	1.8839	6.6003	74.550	75.333	1496.4	-0.22151	891.27	0.60636	0.071982	0.0012765	783.42	43.400	45.874	154.17	25.950	34.441	426.58	278.66	9.6990	0.018429
298.71	0.0032778	55.334	0.018072	1.9308	1.9309	6.7576	74.505	75.329	1498.0	-0.22109	878.75	0.60738	0.071885	0.0013220	756.45	43.415	45.894	153.93	25.960	34.454	427.01	273.88	9.7187	0.018473
299.34	0.0034010	55.325	0.018075	1.9778	1.9778	6.9146	74.460	75.324	1499.7	-0.22068	866.50	0.60838	0.071789	0.0013689	730.53	43.430	45.915	153.70	25.971	34.468	427.44	269.21	9.7385	0.018516
299.96	0.0035282	55.316	0.018078	2.0247	2.0248	7.0712	74.415	75.321	1501.3	-0.22027	854.53	0.60938	0.071692	0.0014172	705.62	43.445	45.935	153.46	25.982	34.482	427.86	264.65	9.7583	0.018560
300.58	0.0036596	55.306	0.018081	2.0717	2.0717	7.2276	74.369	75.317	1502.8	-0.21986	842.83	0.61037	0.071596	0.0014670	681.67	43.461	45.955	153.22	25.992	34.496	428.29	260.19	9.7781	0.018604
301.21	0.0037952	55.296	0.018084	2.1186	2.1187	7.3836	74.324	75.314	1504.4	-0.21945	831.38	0.61134	0.071498	0.0015183	658.65	43.476	45.976	152.99	26.003	34.509	428.71	255.83	9.7980	0.018648
301.83	0.0039352	55.286	0.018088	2.1655	2.1656	7.5392	74.277	75.311	1505.9	-0.21904	820.18	0.61231	0.071401	0.0015711	636.51	43.491	45.996	152.76	26.014	34.523	429.13	251.57	9.8179	0.018692
302.45	0.0040797	55.276	0.018091	2.2125	2.2125	7.6946	74.231	75.308	1507.4	-0.21864	809.22	0.61327	0.071304	0.0016255	615.21	43.506	46.016	152.52	26.024	34.538	429.56	247.40	9.8378	0.018736
303.07	0.0042287	55.266	0.018094	2.2594	2.2595	7.8496	74.184	75.306	1508.8	-0.21824	798.50	0.61422	0.071206	0.0016814	594.73	43.521	46.036	152.29	26.035	34.552	429.98	243.33	9.8577	0.018780
303.70	0.0043824	55.255	0.018098	2.3063	2.3064	8.0043	74.137	75.303	1510.2	-0.21784	788.01	0.61517	0.071108	0.0017391	575.02	43.537	46.057	152.06	26.046	34.566	430.40	239.35	9.8777	0.018825
304.32	0.0045410	55.245	0.018101	2.3533	2.3533	8.1587	74.090	75.302	1511.6	-0.21745	777.73	0.61610	0.071010	0.0017984	556.05	43.552	46.077	151.83	26.057	34.580	430.82	235.46	9.8978	0.018869
304.94	0.0047046	55.234	0.018105	2.4002	2.4003	8.3127	74.042	75.300	1513.0	-0.21705	767.67	0.61703	0.070911	0.0018594	537.79	43.567	46.097	151.61	26.068	34.595	431.24	231.65	9.9178	0.018914
305.57	0.0048732	55.223	0.018109	2.4471	2.4472	8.4664	73.994	75.298	1514.4	-0.21666	757.83	0.61794	0.070813	0.0019223	520.22	43.582	46.117	151.38	26.079	34.609	431.66	227.93	9.9379	0.018958
306.19	0.0050470	55.211	0.018112	2.4940	2.4941	8.6199	73.946	75.297	1515.7	-0.21627	748.18	0.61885	0.070714	0.0019869	503.30	43.597	46.138	151.16	26.090	34.624	432.08	224.29	9.9581	0.019003
306.81	0.0052262	55.200	0.018116	2.5410	2.5411	8.7730	73.897	75.296	1517.0	-0.21588	738.73	0.61975	0.070615	0.0020534	487.01	43.613	46.158	150.93	26.101	34.639	432.50	220.73	9.9782	0.019048
307.44	0.0054109	55.188	0.018120	2.5879	2.5880	8.9258	73.848	75.296	1518.3	-0.21550	729.47	0.62064	0.070516	0.0021217	471.32	43.628	46.178	150.71	26.112	34.654	432.92	217.26	9.9984	0.019093
308.06	0.0056013	55.177	0.018124	2.6348	2.6349	9.0782	73.799	75.295	1519.5	-0.21511	720.40	0.62152	0.070416	0.0021920	456.20	43.643	46.198	150.49	26.123	34.669	433.33	213.85	10.019	0.019138
308.68	0.0057974	55.165	0.018128	2.6817	2.6819	9.2304	73.750	75.295	1520.7	-0.21473	711.52	0.62240	0.070317	0.0022643	441.64	43.658	46.218	150.27	26.134	34.684	433.75	210.53	10.039	0.019183
309.31	0.0059994	55.153	0.018132	2.7287	2.7288	9.3823	73.700	75.294	1521.9	-0.21435	702.80	0.62326	0.070217	0.0023386	427.60	43.673	46.238	150.05	26.146	34.699	434.17	207.28	10.059	0.019228
309.93	0.0062075	55.140	0.018136	2.7756	2.7757	9.5338	73.650	75.294	1523.1	-0.21397	694.26	0.62412	0.070117	0.0024150	414.08	43.688	46.259	149.83	26.157	34.714	434.58	204.09	10.079	0.019273
310.55	0.0064218	55.128	0.018140	2.8225	2.8226	9.6851	73.600	75.295	1524.2	-0.21359	685.89	0.62497	0.070016	0.0024935	401.04	43.703	46.279	149.62	26.168	34.730	434.99	200.98	10.100	0.019319
311.18	0.0066425	55.115	0.018144	2.8694	2.8696	9.8360	73.550	75.295	1525.4	-0.21322	677.68	0.62582	0.069916	0.0025742	388.48	43.718	46.299	149.40	26.180	34.745	435.41	197.94	10.120	0.019364
311.80	0.0068697	55.102	0.018148	2.9164	2.9165	9.9867	73.499	75.296	1526.4	-0.21284	669.63	0.62665	0.069815	0.0026570	376.36	43.734	46.319	149.19	26.191	34.761	435.82	194.96	10.141	0.019410
312.42	0.0071036	55.089	0.018152	2.9633	2.9634	10.137	73.448	75.296	1527.5	-0.21247	661.73	0.62748	0.069714	0.0027422	364.67	43.749	46.339	148.97	26.203	34.776	436.23	192.05	10.161	0.019456
313.05	0.0073443	55.076	0.018157	3.0102	3.0104	10.287	73.397	75.297	1528.6	-0.21210	653.99	0.62830	0.069613	0.0028296	353.40	43.764	46.359	148.76	26.215	34.792	436.64	189.20	10.181	0.019502
313.67	0.0075920	55.063	0.018161	3.0572	3.0573	10.437	73.345	75.298	1529.6	-0.21173	646.39	0.62911	0.069512	0.0029194	342.53	43.779	46.379	148.55	26.226	34.808	437.05	186.41	10.202	0.019548
314.29	0.0078470	55.050	0.018165	3.1041	3.1042	10.586	73.294	75.300	1530.6	-0.21136	638.93	0.62992	0.069410	0.0030117	332.04	43.794	46.399	148.34	26.238	34.825	437.46	183.68	10.222	0.019594
314.92	0.0081092	55.036	0.018170	3.1510	3.1512	10.735	73.242	75.301	1531.6	-0.21099	631.62	0.63072	0.069308	0.0031064	321.92	43.809	46.419	148.13	26.250	34.841	437.87	181.01	10.243	0.019640
315.54	0.0083790	55.022	0.018174	3.1979	3.1981	10.884	73.190	75.302	1532.5	-0.21062	624.43	0.63151	0.069206	0.0032036	312.15	43.824	46.439	147.92	26.262	34.857	438.28	178.40	10.264	0.019686
316.16	0.0086565	55.008	0.018179	3.2449	3.2450	11.033	73.137	75.304	1533.5	-0.21026	617.39	0.63229	0.069104	0.0033034	302.72	43.839	46.459	147.72	26.274	34.874	438.69	175.84	10.284	0.019733
316.79	0.0089419	54.994	0.018184	3.2918	3.2920	11.181	73.085	75.306	1534.4	-0.20990	610.47	0.63306	0.069002	0.0034058	293.62	43.854	46.479	147.51	26.286	34.891	439.10	173.34	10.305	0.019779
317.41	0.0092354	54.980	0.018188	3.3387	3.3389	11.329	73.032	75.308	1535.3	-0.20953	603.67	0.63383	0.068899	0.0035109	284.83	43.869	46.499	147.31	26.299	34.908	439.50	170.89	10.325	0.019826
318.03	0.0095371	54.966	0.018193	3.3857	3.3858	11.477	72.979	75.310	1536.1	-0.20917	597.00	0.63459	0.068796	0.0036187	276.34	43.884	46.519	147.10	26.311	34.925	439.91	168.50	10.346	0.019873
318.66	0.0098472	54.951	0.018198	3.4326	3.4328	11.624	72.926	75.312	1537.0	-0.20881	590.45	0.63535	0.068693	0.0037294	268.14	43.899	46.539	146.90	26.323	34.942	440.31	166.15	10.367	0.019919
319.28	0.010166	54.937	0.018203	3.4795	3.4797	11.772	72.873	75.314	1537.8	-0.20845	584.01	0.63609	0.068590	0.0038429	260.22	43.914	46.559	146.70	26.336	34.959	440.72	163.85	10.387	0.019966
319.90	0.010494	54.922	0.018208	3.5265	3.5267	11.918	72.819	75.317	1538.6	-0.20809	577.69	0.63683	0.068487	0.0039592	252.57	43.929	46.579	146.50	26.348	34.977	441.12	161.60	10.408	0.020014
320.53	0.010830	54.907	0.018213	3.5734	3.5736	12.065	72.765	75.319	1539.4	-0.20774	571.48	0.63757	0.068383	0.0040786	245.18	43.944	46.599	146.30	26.361	34.995	441.52	159.40	10.429	0.020061
321.15	0.011176	54.892	0.018218	3.6204	3.6206	12.211	72.711	75.322	1540.1	-0.20738	565.38	0.63829	0.068279	0.0042010	238.04	43.959	46.619	146.10	26.374	35.013	441.92	157.24	10.450	0.020108
321.77	0.011532	54.876	0.018223	3.6673	3.6675	12.357	72.657	75.325	1540.9	-0.20703	559.39	0.63901	0.068175	0.0043265	231.13	43.974	46.639	145.90	26.387	35.031	442.33	155.13	10.470	0.020155
322.39	0.011896	54.861	0.018228	3.7142	3.7145	12.503	72.603	75.328	1541.6	-0.20667	553.50	0.63972	0.068071	0.0044552	224.46	43.988	46.659	145.71	26.400	35.049	442.73	153.06	10.491	0.020203
323.02	0.012271	54.845	0.018233	3.7612	3.7614	12.649	72.548	75.331	1542.3	-0.20632	547.71	0.64043	0.067966	0.0045870	218.01	44.003	46.679	145.51	26.413	35.067	443.12	151.03	10.512	0.020251
323.64	0.012656	54.830	0.018238	3.8081	3.8084	12.794	72.494	75.334	1542.9	-0.20597	542.02	0.64112	0.067861	0.0047222	211.77	44.018	46.698	145.32	26.426	35.086	443.52	149.05	10.533	0.020298
324.26	0.013052	54.814	0.018244	3.8551	3.8553	12.939	72.439	75.338	1543.6	-0.20561	536.43	0.64182	0.067756	0.0048607	205.73	44.033	46.718	145.12	26.440	35.105	443.92	147.10	10.554	0.020346
324.89	0.013457	54.798	0.018249	3.9020	3.9023	13.083	72.384	75.341	1544.2	-0.20526	530.93	0.64250	0.067651	0.0050026	199.90	44.048	46.738	144.93	26.453	35.124	444.32	145.19	10.575	0.020394
325.51	0.013874	54.782	0.018254	3.9490	3.9492	13.228	72.329	75.344	1544.9	-0.20491	525.52	0.64318	0.067546	0.0051480	194.25	44.063	46.758	144.74	26.467	35.143	444.71	143.33	10.596	0.020443
326.13	0.014301	54.766	0.018260	3.9960	3.9962	13.372	72.273	75.348	1545.4	-0.20456	520.21	0.64385	0.067440	0.0052969	188.79	44.078	46.778	144.55	26.480	35.162	445.11	141.50	10.617	0.020491
326.76	0.014740	54.749	0.018265	4.0429	4.0432	13.516	72.218	75.352	1546.0	-0.20421	514.98	0.64451	0.067335	0.0054495	183.50	44.092	46.797	144.36	26.494	35.182	445.50	139.70	10.637	0.020539
327.38	0.015190	54.733	0.018271	4.0899	4.0901	13.659	72.162	75.356	1546.6	-0.20387	509.84	0.64517	0.067229	0.0056057	178.39	44.107	46.817	144.17	26.508	35.202	445.90	137.94	10.658	0.020588
328.00	0.015652	54.716	0.018276	4.1368	4.1371	13.803	72.106	75.360	1547.1	-0.20352	504.78	0.64582	0.067123	0.0057657	173.44	44.122	46.837	143.98	26.522	35.222	446.29	136.22	10.679	0.020636
328.63	0.016126	54.699	0.018282	4.1838	4.1841	13.946	72.050	75.364	1547.6	-0.20317	499.80	0.64647	0.067016	0.0059295	168.65	44.137	46.856	143.80	26.536	35.242	446.68	134.53	10.700	0.020685
329.25	0.016612	54.682	0.018287	4.2308	4.2311	14.088	71.994	75.368	1548.1	-0.20282	494.91	0.64711	0.066910	0.0060972	164.01	44.152	46.876	143.61	26.551	35.262	447.07	132.87	10.722	0.020734
329.87	0.017111	54.665	0.018293	4.2777	4.2781	14.231	71.938	75.372	1548.6	-0.20248	490.09	0.64774	0.066803	0.0062689	159.52	44.166	46.896	143.43	26.565	35.283	447.46	131.25	10.743	0.020783
330.50	0.017622	54.648	0.018299	4.3247	4.3250	14.373	71.882	75.377	1549.1	-0.20213	485.36	0.64837	0.066696	0.0064446	155.17	44.181	46.915	143.24	26.580	35.304	447.85	129.66	10.764	0.020832
331.12	0.018146	54.631	0.018305	4.3717	4.3720	14.515	71.825	75.381	1549.5	-0.20179	480.70	0.64898	0.066589	0.0066245	150.96	44.196	46.935	143.06	26.595	35.325	448.24	128.09	10.785	0.020882
331.74	0.018683	54.614	0.018310	4.4187	4.4190	14.657	71.769	75.386	1549.9	-0.20144	476.11	0.64960	0.066481	0.0068085	146.88	44.211	46.955	142.88	26.609	35.346	448.63	126.56	10.806	0.020931
332.37	0.019234	54.596	0.018316	4.4657	4.4660	14.798	71.712	75.390	1550.3	-0.20110	471.59	0.65020	0.066374	0.0069968	142.92	44.225	46.974	142.69	26.624	35.368	449.02	125.06	10.827	0.020981
332.99	0.019799	54.578	0.018322	4.5126	4.5130	14.940	71.655	75.395	1550.7	-0.20075	467.15	0.65080	0.066266	0.0071895	139.09	44.240	46.994	142.51	26.640	35.390	449.40	123.58	10.848	0.021030
333.61	0.020378	54.560	0.018328	4.5596	4.5600	15.081	71.598	75.400	1551.1	-0.20041	462.77	0.65140	0.066158	0.0073865	135.38	44.255	47.013	142.33	26.655	35.412	449.79	122.14	10.869	0.021080
334.24	0.020971	54.543	0.018334	4.6066	4.6070	15.221	71.541	75.405	1551.4	-0.20007	458.46	0.65199	0.066050	0.0075881	131.78	44.269	47.033	142.16	26.670	35.434	450.17	120.72	10.890	0.021130
334.86	0.021579	54.524	0.018340	4.6536	4.6540	15.362	71.484	75.410	1551.8	-0.19972	454.22	0.65257	0.065941	0.0077943	128.30	44.284	47.052	141.98	26.686	35.457	450.56	119.32	10.912	0.021180
335.48	0.022201	54.506	0.018347	4.7006	4.7010	15.502	71.427	75.415	1552.1	-0.19938	450.05	0.65314	0.065833	0.0080052	124.92	44.299	47.072	141.80	26.702	35.480	450.94	117.96	10.933	0.021230
336.11	0.022839	54.488	0.018353	4.7476	4.7480	15.642	71.369	75.421	1552.4	-0.19904	445.94	0.65371	0.065724	0.0082208	121.64	44.313	47.091	141.62	26.718	35.503	451.32	116.62	10.954	0.021281
336.73	0.023492	54.470	0.018359	4.7946	4.7950	15.782	71.312	75.426	1552.7	-0.19869	441.89	0.65427	0.065615	0.0084412	118.47	44.328	47.111	141.45	26.734	35.526	451.70	115.30	10.975	0.021331
337.35	0.024162	54.451	0.018365	4.8416	4.8421	15.921	71.254	75.432	1552.9	-0.19835	437.90	0.65483	0.065506	0.0086666	115.39	44.342	47.130	141.27	26.750	35.550	452.08	114.01	10.996	0.021382
337.98	0.024847	54.432	0.018371	4.8886	4.8891	16.060	71.196	75.437	1553.2	-0.19801	433.97	0.65538	0.065397	0.0088969	112.40	44.357	47.150	141.10	26.766	35.573	452.46	112.74	11.018	0.021433
338.60	0.025549	54.413	0.018378	4.9356	4.9361	16.199	71.139	75.443	1553.4	-0.19767	430.10	0.65593	0.065287	0.0091324	109.50	44.371	47.169	140.93	26.783	35.598	452.84	111.49	11.039	0.021484
339.22	0.026267	54.395	0.018384	4.9827	4.9831	16.338	71.081	75.449	1553.6	-0.19733	426.29	0.65647	0.065177	0.0093730	106.69	44.386	47.188	140.76	26.800	35.622	453.21	110.27	11.060	0.021535
339.85	0.027003	54.375	0.018391	5.0297	5.0302	16.477	71.023	75.455	1553.8	-0.19698	422.54	0.65700	0.065067	0.0096189	103.96	44.400	47.208	140.58	26.817	35.647	453.59	109.06	11.082	0.021586
340.47	0.027755	54.356	0.018397	5.0767	5.0772	16.615	70.965	75.461	1554.0	-0.19664	418.84	0.65752	0.064957	0.0098702	101.32	44.415	47.227	140.41	26.834	35.672	453.97	107.88	11.103	0.021637
341.09	0.028526	54.337	0.018404	5.1237	5.1243	16.753	70.907	75.467	1554.2	-0.19630	415.19	0.65804	0.064847	0.010127	98.747	44.429	47.246	140.24	26.851	35.697	454.34	106.72	11.124	0.021689
341.71	0.029315	54.318	0.018410	5.1708	5.1713	16.891	70.849	75.473	1554.3	-0.19596	411.60	0.65856	0.064736	0.010389	96.254	44.444	47.266	140.08	26.868	35.722	454.71	105.59	11.146	0.021741
342.34	0.030122	54.298	0.018417	5.2178	5.2184	17.028	70.790	75.479	1554.5	-0.19562	408.06	0.65907	0.064625	0.010657	93.835	44.458	47.285	139.91	26.886	35.748	455.09	104.47	11.167	0.021792
342.96	0.030947	54.278	0.018424	5.2648	5.2654	17.165	70.732	75.486	1554.6	-0.19527	404.58	0.65957	0.064514	0.010931	91.486	44.473	47.304	139.74	26.904	35.774	455.46	103.37	11.188	0.021844
343.58	0.031792	54.259	0.018430	5.3119	5.3125	17.303	70.674	75.493	1554.7	-0.19493	401.14	0.66007	0.064403	0.011210	89.206	44.487	47.323	139.57	26.922	35.801	455.83	102.29	11.210	0.021897
344.21	0.032656	54.239	0.018437	5.3589	5.3595	17.439	70.615	75.499	1554.8	-0.19459	397.75	0.66056	0.064292	0.011495	86.991	44.502	47.342	139.41	26.940	35.827	456.20	101.23	11.231	0.021949
344.83	0.033540	54.219	0.018444	5.4060	5.4066	17.576	70.557	75.506	1554.8	-0.19425	394.41	0.66104	0.064180	0.011787	84.841	44.516	47.362	139.24	26.958	35.854	456.57	100.18	11.252	0.022001
345.45	0.034444	54.199	0.018451	5.4530	5.4537	17.712	70.498	75.513	1554.9	-0.19390	391.12	0.66152	0.064069	0.012084	82.752	44.530	47.381	139.08	26.977	35.882	456.93	99.156	11.274	0.022054
346.08	0.035369	54.179	0.018457	5.5001	5.5007	17.848	70.440	75.520	1554.9	-0.19356	387.87	0.66200	0.063957	0.012388	80.724	44.545	47.400	138.92	26.995	35.909	457.30	98.148	11.295	0.022107
346.70	0.036314	54.158	0.018464	5.5472	5.5478	17.984	70.381	75.527	1555.0	-0.19322	384.67	0.66246	0.063845	0.012698	78.753	44.559	47.419	138.75	27.014	35.937	457.67	97.156	11.317	0.022160
